,Blocks.paragraph,Blocks.Quadrant,grouped_text
0,0,Q1,16
1,1,Q1,"statement to the subject field of knowledge organiza- tion. In a much sharper form, Rudolf Wohl-genannt (1969) formulated his criteria, also basing his argu- ments on the propositional concept of science. How- ever, neither space nor time permits further elabora- tion on these criteria here. But they should be con- sidered if further clarification of this matter is sought. Another essential aspect of science at large is that it affords theories, models, and hypotheses to emerge. In this respect, I should like to point out that the whole lot of more or less intuitively conceived universal and special classification systems, from the beginning of mankind until down to the whole 19th century, were not at all based on theoretical consid- erations. Similarly, all efforts in the past centuries to- wards systematizing knowledge on the part of phi- losophers were not useful for our purposes by the simple fact that systems were developed always only"
19,0,Q2,Knowl. Org. (2006)M Ingetraut Dahlberg. Knowledge Organization: A New Science?
21,1,Q2,"regarding their functional relations. By applying this knowledge to the construction and utilization of concept as well as classification systems and thesauri, the field of knowledge organization has developed from a more or less intuitive art into a new and a truly scientific discipline."
27,2,Q2,6. Knowledge Organization in the Universal Context of Knowledge Fields
29,3,Q2,"If knowledge organization can be regarded as a new scientific discipline, into which environment would it come? Would it belong into the environment of the information sciences? In our Information Coding Classification (Dahlberg 1982) we postulated nine ontical areas by starting from the objects of reality, which in the sense of the theory of integrative levels according to J.K.Feibleman (1954) and Nicolai"
37,0,Q3,"deductively by disciplines although subjects were or- ganized based on best personal knowledge and good will. But exactly that knowledge, which manifests it- self in single concepts and statements - the inductive way - did not carry. Nor did the third approach carry, the necessary use of formal relationships, originating from different concept categories. Starting from the approach that had guided Bliss in his time, the Indian mathematician and later librarian of the University Library of Madras, S.R. Ranganathan, developed a new paradigm of classification theory for the entire period following with his faceted classification sys- tem, which allows all concept combinations possible. He explained it in his Prolegomena (1937). Therefore, one may conclude that the field of ""Knowledge Organization"" obeys the science criteria formulated by Diemer, and that it received in the past century also the necessary theoretical founda- tion - especially by:"
56,1,Q3,"- The work of Ranganathan, regarding categoriza- tion (facet analysis) and ruled concept combina- tions - partly already anticipated by the invention of auxiliaries through Otlet and LaFontaine in re- vising and enlarging the Dewey Decimal Classifi- cation; and, - The work of Wüster regarding system formation on the basis of the two hierarchical forms of con- cept systems using the Logic of Port Royal."
65,2,Q3,"Further, researchers such as E. de Grolier (1962) and J. Perreault (1965) have extended the knowledge about relationships between concepts, especially also"
68,0,Q4,"Hartmann (1964), presuppose and build themselves upon each other, and which can be specified each by nine aspect areas. Looking at Figure 2, demonstrating these nine ar- eas of being, it is obvious that area 8 is the one deal- ing with the intellectual products of man and society, which means ""knowledge"" and ""information."" In the presentation of the matrix it can be seen that under 1 always the general and theoretical aspects of an object area are apprehended, which, in the case of area 8, must be ""Science of Science."" Its subdivisions are then, i.a., Theory of science, History of science, Sci- ence research, etc. In the ontical area 1, the area of Form and Structure, one will find the System Sciences at the position 4 as a specialty of form and structure. Therefore it seemed logical for me regarding the sys- tem character of knowledge, as every knowledge unit is related to another one by its concept characteris- tics, to place knowledge organization at position 4 of science of science under 81, thus 814. This should be regarded as a proposition only, along with the entire system of knowledge fields, as represented by this universal classification system, under which nearly 7000 concepts of knowledge or subject fields (and not as yet their contents) on a number of subdivisional levels were elaborated on the basis of their definitions. (The definitions were taken from encyclopedias, from Wahrig (1975), and from 500 special dictionaries. They were discussed with almost 300 university teachers. In this sense it forms, expressed in today's pertinent terminology, an ""upper ontology."") The system could well be used for the purpose mentioned in the next chapter, but it"
