,Blocks.paragraph,grouped_text
0,0,38
1,1,Knowl. Org. 46(2019)No.1 M. Frické. The Knowledge Pyramid: the DIKW Hierarchy
3,2,account of public knowledge are absolutely central and 3.4 Wisdom
5,3,"widespread within traditional philosophy (Musgrave 1993), they are by no means universal with modern philosophers."
7,4,That leaves wisdom. The concept of wisdom certainly OC- Many contemporary epistemologists make a distinction
9,5,"cupied the ancient Greek philosophers, such as Plato and between strong and weak knowledge; Goldman (1999) is"
11,6,Aristotle; although it has not been a popular topic of discus- one example. Strong knowledge covers justified-true-be- sion in recent times. There seem to be several different liefs and justified-true-(community-accepted)-statements
15,7,"strands to wisdom (Ryan 2013; Sternberg 1990, 2017). A Weak knowledge is like strong knowledge except that the"
17,8,"wise person needs to have an understanding of the epis- justification component is omitted. Thus, weak personal"
19,9,"temic status of what he or she knows, i.e., they have to be a knowledge consists of beliefs which are true, and weak im-"
21,10,fallibilist-Socrates was considered wise largely because all personal knowledge consists of community held views
23,11,"he knew was that he knew nothing. Then, almost in contra- that are true. It has been suggested earlier that the concept"
25,12,"diction to this, a wise person has to know, fallibly, plenty. A of weak personal or public knowledge, in its recorded"
27,13,"person that genuinely knows little or nothing, a person with form, is suitable as a view of information."
29,14,"an empty head, is not a wise person. Then this wide Ackoff, and the early systems theorists, tend to use a"
31,15,"knowledge has to be of a certain kind, a kind that applies to ""know-how"" concept of knowledge. Examples of know"
33,16,the many and varied problems of life. A person may have how are that a person knows how to ride a bike or knows
35,17,encyclopedic knowledge of the facts and figures relating to how to play chess. There are philosophical accounts of
37,18,"the countries of the world, but that knowledge, of itself, will know-how (see, for example, Fantl 2016). Know-how is of-"
39,19,not make that person wise. The wide knowledge has to be ten analyzed in terms of ability; a person knows how to ride
41,20,applicable to tricky problems of an ethical and practical a bike if they have the ability to ride a bike. Another strand
43,21,"kind, of how to act. (Nozick 1989, 269): that can feed into the analysis is intellectualist VS. anti-intel- lectualist approaches and this is to do with the extent to"
46,22,"Wisdom is not just one type of knowledge, but di- which know-how is parasitic, symbiotic, or dependent, upon"
48,23,"verse. What a wise person needs to know and under- know-that. An intellectualist might say that, in chess, if a"
50,24,stand constitutes a varied list: the most important person knows that a pawn can advance two squares on the
52,25,"goals and values of life-the ultimate goal, if there first move, knows that bishops move diagonally, etc. etc."
54,26,"is one; what means will reach these goals without too then that person knows how to play chess. In other words,"
56,27,great a cost; what kinds of dangers threaten the knowing how to play chess merely amounts to knowing a
58,28,achieving of these goals; how to recognize and avoid suitable collection of know-thats. This intellectualist ac-
60,29,or minimize these dangers; what different types of count is much less plausible with a case like riding a bike.
62,30,"human beings are like in their actions and motives Which know-thats, exactly, does a bike rider have to have in"
64,31,"(as this presents dangers or opportunities); what is order to know how to ride a bike? The bike rider cannot say,"
66,32,"not possible or feasible to achieve (or avoid); how to nor, seemingly, can anyone else. At this point, the anti-intel-"
68,33,tell what is appropriate when; knowing when certain lectualist might trumpet: know-hows have nothing to do
70,34,"goals are sufficiently achieved; what limitations are with know-thats. This might be a reasonable conclusion, but"
72,35,unavoidable and how to accept them; how to im- the intellectualist is not quite dead yet. The intellectualist can
74,36,"prove oneself and one's relationships with others or introduce the idea of ""tacit"" knowledge (Polanyi 1958,"
76,37,"society; knowing what the true and unapparent value 1967). This is knowledge, know-that knowledge, that some-"
78,38,"of various things is; when to take a long-term view; one has but which they cannot say, articulate, or put into"
80,39,"knowing the variety and obduracy of facts, institu- words. In general, there is plenty of tacit knowledge (though"
82,40,"tions, and human nature; understanding what one's there is a question of whether that concept belongs here)."
84,41,"real motives are; how to cope and deal with the ma- So, the intellectualist might argue that the know-how of a"
86,42,"jor tragedies and dilemmas of life, and with the ma- bike rider is dependent on a collection of know-thats, but"
88,43,jor good things too. the know-thats are tacit and difficult to make explicit. The Ackoff tradition uses know-how and it relates that
91,44,"And the wise person must not only have wide appropriate to ability. DIKW swirls in data and information, which is to"
93,45,"knowledge, but they must act in accordance with the suggest that DIKW has a lot of connection at the lower lev-"
95,46,"knowledge they have-they need to use their knowledge els with propositions and know-thats. This, in turn, suggests"
97,47,when required and not to ignore it by choice or chance. that the systems theories would take an intellectualist view
99,48,"The DIKW account of wisdom, in its Ackoff version, of know-how (that know-how is intimately related to know-"
101,49,"is reasonably in harmony with this. Ackoff, and his imme- that). Finally, this position really requires some use of tacit"
103,50,"diate followers, were systems theorists, they were control knowledge."
105,51,"theorists. Knowledge, was know-how, know how to con-"
