,Blocks.paragraph,grouped_text
0,0,SAMANTA & RATH USER-GENERATED SOCIAL TAGS VERSUS LIBRARIAN-GENERATED SUBJECT HEADINGS: A COMPARATIVE
1,1,makes that expert-generated or librarian-generated metadata
2,2,"Do both social tags and SLSH terms are the same based is not competent to describe all the resources. Instead, an"
4,3,on usage? alternative decentralised way for metadata generation is needed
6,4,Do social tags and SLSH terms use keywords from the in the view of user-driven metadata approach. The user-driven title of books? metadata is generated through the process of social tagging 11.
10,5,"Do social tags enhance the subject access like SLSH LibraryThing, a social network site for book lovers is allowing"
12,6,terms? users to assign any tags to any books as per need where tags
14,7,Can social tags replace controlled vocabularies?
15,8,are found as a tag cloud with different font size and weight reflecting the popularity of each tag ¹².
17,9,"4. DATASET Despite many advantages, social tags still suffer from"
19,10,The present study compares two types of metadata quality issues. Being generated from uncontrolled vocabulary
21,11,"of which one is user-generated social tags and other one is social tags suffer from homonyms, synonyms, lack of"
23,12,librarian-generated subject terms used for libraries. Thousand controlled vocabularies and semantic ambiguities¹³ Besides
25,13,"book titles in field of History were randomly sampled under the social tags contain many personal tags ('read', 'to-read',"
27,14,"study. The study uses LibraryThing (www.librarything.com) for 'unread', 'read in 2015' etc.) that neither define any subject nor"
29,15,collecting user-generated social tags whereas uses Sears List help in information retrieval. Personal tags are mainly used for
31,16,of Subject Headings (19th ed.) for librarian-generated subject personal purposes rather than public benefit15. Having many
33,17,"headings. The study primarily collects 41313 user-generated issues regarding incorporation into library databases, still"
35,18,social tags from LibraryThing database and 3227 SLSH terms many researchers and information scientists opined that social
37,19,from librarian-generated subject headings using Sears List of tagging can enhance the library catalogue as well as library
39,20,Subject Headings (19th ed.) for thousand book titles in History. website by supplementing controlled vocabularies¹6
41,21,After removing duplicates unique social tags and unique SLSH terms are 6123 (average 6.12 per book) and 387 (average 0.39 2. LITERATURE REVIEW per book) respectively. The overall comparison was carried out Bogers & Petras17 conducted a comparative study to know
47,22,based on those unique social tags and SLSH terms.
48,23,whether social tags can replace or improve professionally assigned metadata used for books. The study compared a
50,24,5. METHODOLOGY test collection of over 2 million book records with metadata
52,25,"The study measures the effectiveness of social tags in elements from Amazon, the British Library, the Library of"
54,26,comparison with sears list of subject heading (SLSH) terms in Congress and LibraryThi which concluded that social tags
56,27,the domain of History. There are many active social cataloguing and controlled vocabulary complement each other.
58,28,"sites like Goodreads (https://www.goodreads.com), Litsy Wu, D. et al.9 examined the relationship between social"
60,29,"(https://www.litsy.com), Anobii (https://www.anobii.com), tagging and controlled vocabulary-based terms in information"
62,30,Readgeek (https://www.readgeek.com) and LibraryThing science domain. The study shows that more overlap between
64,31,(https://www.librarything.com) etc. on the web and these social tags and controlled vocabulary-based terms. The study
66,32,provide users different experiences of resource organisation. also highlights that social tagging can enrich the controlled
68,33,But the present study prefers the LibraryThing database (a vocabulary.
70,34,social cataloguing site for book lovers) for collecting social Petek18 compared user generated metadata with librarian
72,35,tags20. This is because LibraryThing provides a collection of generated metadata on digital images collected from Flickr
74,36,social tags which are assigned by users under a given subject and Digital Library of Slovenia respectively. The study was
76,37,in alphabetical order. The collection of social tags is also conducted to identify whether any disimilarity exist between
78,38,called technically as 'Tag Cloud'. Tags in the 'Tag Cloud' are those metadata. The result shows that tagging has perpetual
80,39,visualised by different font size which represents the popularity quality can be used for enriching digital images but tagging is
82,40,"of tags under a given subject. Beside, Library Thing database mostly done for personal benefit."
84,41,"has a vast collection of books from LOC online catalogue, Amazon.com and 4967 other sources also¹1. A thousand books"
86,42,"Lu, C. et al.5 conducted a study to know the connection between social tags and expert-assigned terms and the"
88,43,written in the English language in the domain of history were feasibility of implementing those social tags into libraries. The
90,44,sampled under the study. The data collection procedure was study shows that social tags can improve the accessibility of
92,45,carried out from September to October 2019. Those books library collections.
94,46,were selected which had been catalogued by at least ten Rolla¹9 made a comparison between user tags from
96,47,users ( 10) and had been assigned at least three social tags LibraryThing and library-supplied subject headings for a group
98,48,(>3) simultaneously in the Library Thing database. Tags hold of books. The study mainly fouces that there is a difference
100,49,different tag frequency in the LibraryThing database. Tags between those metadata and for that reason user tags can not
102,50,contain more tag frequency means the tag is more popular to replace entirely controlled vocabularies such as Library of
104,51,users. That means the number of users uses this tag to define Congress Subject Headings.
106,52,that particular book. The present study selects those tags only which had at least twice tag frequency >2) or more than that 3. RESEARCH QUESTIONS
110,53,in the LibraryThing database. Do social tags and SLSH terms follow the same
112,54,"On the other side, subject headings for the entire set were vocabulary? prepared in consultation with sears list of subject headings"
115,55,177
