,Blocks.paragraph,grouped_text
0,0,Women on the edge 207
1,1,"I did not interview men, although they too"
2,2,"friends and colleagues struggled, and as I struggled, experience stress in ways that surely parallel and"
4,3,these conversations became important and neces- diverge from women's experiences. There is also
6,4,sary for survival. Audre Lorde (1988) and Sara important work to be done on men's experiences of
8,5,"Ahmed (2014) write about ""self-care as warfare."" I stress. I began with women because I am one and"
10,6,"found myself engaged in these conversations, and because I witnessed them carrying burdens that"
12,7,found that they helped: that finding ways to discuss were making them ill. Too many women were
14,8,"overwhelming stress and health struggles made suffering in isolation, and I wanted to know why."
16,9,me realize that many people around me were I have also witnessed some of the ways that my male
18,10,experiencing similar things. There was relief and colleagues contend with the tremendous pressure
20,11,"hope in and for something bigger; there was power to perform, and wonder if these pressures might"
22,12,in forging the collective. The process was one where prove more difficult at times because constructions
24,13,conversations evolved into interviews as I explained of masculinity may preclude more discussion of
26,14,"the project. I put tools of social science, friendship, their experiences. For better and for worse, women"
28,15,and the power of conversation into the healing are essentialized as people with whom to discuss
30,16,"process. health issues. In her recent essay ""Thanks for"
32,17,"While I do not want to essentialize the category of Listening,"" Green (2015) estimates that someone"
34,18,"woman, the experiences of women, or their ways cries in her office ""at least once every three weeks."""
36,19,"of engaging each other, I have found that conversa- She notes that she is not trained as therapist or"
38,20,"tions about these issues seem to happen more social worker and is not chair of her department, but"
40,21,"often-for me-with other women. In the time since ""I'm a female professor at a research university,"
42,22,"co-authoring an essay called ""For Slow Scholarship"" where faculty members and students-especially"
44,23,"(Mountz et al. 2015) however, I have had the graduate students-regularly show up at my office,"
46,24,opportunity to learn from more men about how often after sending me a vague email asking if I have
48,25,"these issues affect them. In the future, I would time to talk. And then they tell me things."" This has"
50,26,"conduct research with everyone interested in dis- been a common experience for me, and female"
52,27,cussing these issues in order to understand their colleagues and I have spoken often about keeping
54,28,gendering more fully. tissues in our offices for these occasions. Green
56,29,I am not trained in autobiography or autoethnog- goes on to depict the kinds of conversations that
58,30,"raphy as methods; this article does not claim to use ensue as ""private,"" ""confidential,"" and ""the under-"
60,31,"these methods. On occasion, I do share my own belly of that work""-by which she means academic"
62,32,"experiences in this article. Some find this a claim to work, career strategies, and socialization into the"
64,33,"legitimacy and power. For me, including my own academy. Green (a pseudonym) notes that while ""a"
66,34,"experiences is a political act. I identify with those few women colleagues nod their heads knowingly"""
68,35,"whose stories are shared here. I share many of their when she speaks of the tissue box kept on her desk,"
70,36,"experiences-albeit in different ways for every ""many professors act baffled: Why would someone"
72,37,"person-and want to locate my own subject position. cry in your office? Men in particular say that."""
74,38,"I do SO as a form of situated knowledge, acknowledg- Female professors often experience and find"
76,39,ing that this is-like all knowledge construction-a themselves exposed disproportionately to this
78,40,"""view from somewhere"" (Haraway 1991). underbelly work or what Hochschild (1983) called"
80,41,"I proceed with a brief discussion of existing ""emotional labour,"" due in part to gendered con-"
82,42,"literature. I then present and discuss findings, structions of women as nice, friendly, caring-as"
84,43,"strategies for change, and conclusions that explore those who in fact do a disproportionate amount of"
86,44,implications and questions raised by this work. care work in the university. This project largely emerged from the preponderance of these kinds of conversations; it involved a desire to expose how
90,45,Setting the scene: Working in the much people-and especially women-were suffer-
92,46,"contemporary university ing, but not able to share this suffering in public ways."
95,47,In environments that privilege endurance and hard The project began at a time when I found myself
97,48,"work, there is little space for discussion of ailments, discussing these issues with some frequency. As burnout, and breaking points. As a result, people"
100,49,"The Canadian Geographer / Le Géographe canadien 2016, 60(2): 205-218"
