,Blocks.paragraph,grouped_text
0,0,"There are numerous writings on the definition, scope,"
1,1,"were widely used. This was convenient for extending the and nature of ""documentation,"" much of it concerned"
3,2,"scope of the field to include pictures and other graphic with the relationships between documentation, bibliogra-"
5,3,"and audio-visual materials. Paul Otlet (1868-1944), is phy, and librarianship. Unfortunately, much of this litera-"
7,4,"known for his observation that documents could be three- ture, like much of the later discussion of information"
9,5,"dimensional, which enabled the inclusion of sculpture. science and librarianship, is undermined by the authors'"
11,6,"From 1928, museum objects were likely to be included by attempts to create or amplify distinctions where the differ-"
13,7,"documentalists within definitions of ""document"" (e.g., ences are not really fundamental but, rather, a matter of"
15,8,"Dupuy-Briet, 1933). emphasis."
17,9,"The overwhelming practical concern of documentalists Loosjes (1962, pp. 1-8) explained documentation in"
19,10,"was with printed documents, SO the question of how far historical terms: Systematic access to written texts, he"
21,11,"the definition of ""document"" could be extended received wrote, became more difficult after the invention of print-"
23,12,"little direct attention. Nevertheless, the occasional thought- ing resulted in the proliferation of texts; scholars were"
25,13,"ful writer would touch on the topic, perhaps because inter- increasingly obliged to delegate tasks to specialists; as-"
27,14,"ested in some novel form of signifying object, such as sembling and maintaining collections was the field of"
29,15,"educational toys, or because of a desire to generalize. librarianship; bibliography was concerned with the de- scriptions of documents; the delegated task of creating access for scholars to the topical contents of documents,"
33,16,"Paul Otlet: Objects as Documents especially of parts within printed documents and without limitation to particular collections, was documentation."
36,17,"Otlet extended the definition of ""document"" halfway After about 1950, more elaborate terminology, such as"
38,18,"through his Traité de documentation of 1934. Graphic ""information science,"" ""information storage and re-"
40,19,"and written records are representations of ideas or of ob- trieval,"" and ""information management,"" increasing re-"
42,20,"jects, he wrote, but the objects themselves can be regarded placed the word ""documentation."""
44,21,"as ""documents"" if you are informed by observation of them. As examples of such ""documents,"" Otlet cites nat- ural objects, artifacts, objects bearing traces of human From Documentation Back to ""Document"" activity (such as archaeological finds), explanatory mod- The problems created by the increase in printed docu-"
50,22,"els, educational games, and works of art (Otlet, 1934, p. ments led to development of the techniques of documenta-"
52,23,"217; also Otlet 1990, pp. 153, 197, and Izquierdo Arroyo, tion. However, the rise of documentation led, in turn, to"
54,24,1995). a new and intriguing question that received little direct
56,25,"In 1935, Walter Schürmeyer wrote: ""Nowadays one attention then or since."
58,26,understands as a document any material basis for ex- Documentation was a set of techniques developed to
60,27,"tending our knowledge which is available for study or manage significant (or potentially significant) documents,"
62,28,"comparison"" [""Man versteht heute unter einem Doku- meaning, in practice, printed texts. But there was (and"
64,29,ment jede materielle Unterlage zur Erweiterung unserer is) no theoretical reason why documentation should be
66,30,"Kenntnisse, die einem Studium oder Vergleich zugänglich limited to texts, let alone printed texts. There are many"
68,31,"ist""] (Schürmeyer, 1935, p. 537.) other kinds of signifying objects in addition to printed"
70,32,"Similarly, the International Institute for Intellectual texts. And if documentation can deal with texts that are"
72,33,"Cooperation, an agency of the League of Nations, devel- not printed, could it not also deal with documents that"
74,34,"oped, in collaboration with Union Français des Organi- are not texts at all? How extensively could documentation smes de Documentation, technical definitions of ""docu- be applied? Stated differently, if the term ""document"""
78,35,"ment"" and related technical terms in English, French, and were used in a specialized meaning as the technical term"
80,36,"German versions and adopted: to denote the objects to which the techniques of documen- tation could be applied, how far could the scope of docu-"
83,37,"Document: Toute base de connaissance, fixée matériellement, mentation be extended. What could (or could not) be a"
85,38,"susceptible d'être utilisée pour consultation, étude document? The question was, however, rarely formulated ou preuve. Exemples: manuscrits, imprimés, repré- in these terms."
89,39,"sentations graphiques ou figurés, objets de collec- tions, etc. An early development was to extend the notion of"
92,40,"Document: Any source of information, in material form, capa- document beyond written texts, a usage to be found in"
94,41,ble of being used for reference or study or as an major English and French dictionaries. [For historical
96,42,"authority. Examples: manuscripts, printed matter, background on ""document,"" see also Sagredo Fernán- illustrations, diagrams, museum specimens, etc. dez & Izquierdo Arroyo (1982)]. ""Any expression of"
100,43,"Dokument: Dokument is jeder Gegenstand, der zur Belehrung, zum Studium oder sur Beweisführung dienen kann, human thought"" was a frequently used definition of"
103,44,"z.B. Handschriften, Drucke, graphische oder bil- ""document"" among documentalists. In the U.S.A., the"
105,45,"dliche Darstellungen, usw. (Anonymous, 1937, p. phrases ""the graphic record"" and ""the generic book"" 234)"
108,46,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE-September 1997
109,47,805
