,Blocks.paragraph,grouped_text
0,0,What it Means to be an iSchool 269
2,1,"crossings of these axes. More importantly,"
3,2,where the move away from an agency- by placing emphasis on human activities
5,3,"focused model of information has led to mediated by information and technology,"
7,4,coursework treating information in more this articulation shifts the field's focus
9,5,"contextual terms e.g., through the social, from agencies of collection such as librar-"
11,6,"cultural or individual dynamics of creation ies or archives, which more typically are"
13,7,"and use, often coupled with deeper com- invoked when describing subject coverage"
15,8,putational content within the coursework. in schools of library and information sci-
17,9,"In theory, this approach serves the student ence, to the contexts in which people, in-"
19,10,"well, no matter their final career trajectory, formation and technology interact."
21,11,but it can prove difficult to determine the The invocation of technology within
23,12,"direct impact of coursework on careers, coverage has some downsides, however."
25,13,and this opens the door to some critics As far back as the work of Shera (1967)
27,14,who portray such a curriculum as divorced and Machlup and Mansfield (1983) there
29,15,from current or traditional professional were doubts expressed about how the field
31,16,"roles (Gorman, 2004). of librarianship was embracing technol-"
33,17,"This shift of emphasis also has conse- ogy, with particular concern that technol-"
35,18,quences for those iSchools seeking ALA- ogy was being treated only as a tool for
37,19,accreditation (currently 17 of the 33 mem- demonstrating academic relevance rather
39,20,bers of the iCaucus) and even within the than as a genuine basis for disciplin-
41,21,general framing of coverage under the ary identity. These concerns are not out
43,22,"people, information, and technology axes, of place now when new tools arrive at a"
45,23,there are alternative or complementary breakneck pace and each can become a
47,24,articulations of disciplinary coverage re- focus of research study divorced from
49,25,"flected in various iSchool web pages and broader contexts of human behavior, but"
51,26,"publications. At the University of Texas, it is reasonable to claim that information"
53,27,we consider information to be a means schools have largely avoided this techno-
55,28,of accelerating discovery through three logical trap by emphasizing human and
57,29,core processes: curation of important re- social processes enabled through technol-
59,30,"sources, organization of information for ogy and by allowing faculty interest to"
61,31,"management and use, and understanding draw natural boundaries around areas of"
63,32,and enabling interactions with informa- research concern. Like most distinctions
65,33,"tion in technologically-appropriate ways drawn in comparing disciplines however,"
67,34,that work best for real people. Within this one would be advised not to treat the line
69,35,"framing, libraries can provide one con- as always clearly drawn."
71,36,"text of study, but they are not privileged In my view, this distinguisher of iS-"
73,37,as more important than many other pos- chools in terms of coverage is real but
75,38,"sible contexts. Other iSchools have their subtle, and one has to dig below to surface"
77,39,"own interpretations and expressions of to recognize it, particularly at the curricu-"
79,40,"coverage too. To be clear, more traditional lar level, though it is a thesis waiting to"
81,41,"schools also cover technology and people. be conducted. From one viewpoint, LIS"
83,42,However they often do SO within a nar- curricula are more focused on services and
85,43,"rower context, placing particular emphasis functions within the information lifecycle,"
87,44,on this organizational setting in which the with some emphasis on roles and respon-
89,45,"practices occur, and in SO doing emphasiz- sibilities for professionals in these specific"
91,46,"ing particular organizations (libraries and areas. Technology, in this educational ori-"
93,47,"archives, for example) as more important entation, is conceived more as supportive"
95,48,to their focus than others. To be an iSchool or supplementary to the skills and practic-
97,49,is to place greater emphasis on broader es of the profession. Such an orientation is
99,50,human activities over these concerns with less obviously found in iSchools curricula
101,51,the specific agency or organizational form
