,Blocks.paragraph,grouped_text
0,0,J_ID: ASI Customer A_ID: JASIST23869 Cadmus Art: JASIST23869 Ed. Ref. No.: JASIST-2016-01-0023.R1 Date: 13-July-17 Stage: Page: 4
16,1,tags in recommender systems and suggested that not all tags
17,2,"including subject headings in order to provide additional are useful for recommendation systems, but that the incorpo-"
19,3,comparison between librarian created metadata and any ration of content and context related tags does improve the
21,4,metadata or other information provided by users of the LC results whereas self-organisational and subjective tags do not.
23,5,Flickr site. Therefore all images with assigned subject head- Terras (2011) investigated the use of collections of digital
25,6,ings listed in their Flickr descriptions were selected from the images of cultural and heritage materials on Flickr by cul-
27,7,LC Flickr collection using the Flickr API Explorer (https:// tural heritage institutions. Flickr provided a useful entry
29,8,www.Flickr.com/services/api/explore/?method= = point for cultural heritage institutions to share their collec-
31,9,tos.search) in 2011. Our methodology was in two parts: a) a tions online with an existing and expanding online commu-
33,10,survey sent to all the Flickr users listed in our sample collec- nity and allowed users other ways to explore and interact
35,11,"tion of LC Flickr images and b) an analysis of the tags, com- with these same collections. Neal (2010) examined affective"
37,12,"ments, notes and other social network activity left by users tag usage on Flickr. She found the differences between most"
39,13,"of Flickr on the LC Flickr images. In this article, we are and least relevant pictures in specific emotional categories"
41,14,"reporting on the analysis of the data from the survey. were statistically significant. She found that ""happy"" pic-"
43,15,The survey consisted of 19 questions (see Appendix A) tures formed the most common emotional category on Flickr
45,16,"regarding use of Flickr (Questions 1-6), a series of demo- and that these pictures were more popular generating more"
47,17,"graphic questions such as current location, language, coun- social interaction between Flickr users (Neal, 2010)."
49,18,"try, and educational level (Questions 7-15), local knowledge (Questions 16-17), and motivations for participating in the LC and Flickr Commons Studies LC Flickr project (Question 18). We included demographic Some studies have focused on LC's Flickr collections or"
54,19,"questions to explore how users' backgrounds influence user's motivations for tagging, commenting, or favoriting an the Flickr Commons specifically. (Natanson, 2012;Clark, item. Previously, inter-indexer consistency studies have 2008; Springer et al., 2008; Springer & Michel, 2008; shown that a user's background affects choice of indexing Vaughan, 2010). The objectives of those collaborations are terms (Markey, 1984). Question 11, what is your occupa- to encourage not only free access to the images but also tion/job title? was asked to examine whether people in cer- interactions among online users. Clark's (2008) research on tain occupations contributed more to the LC Flickr project the partnership between LC and Flickr indicates that one of than others. We provided seven preselected categories: the benefits is the ability to seek additional information from Librarian, Archivist, Cataloger, Photographer, Graphic artist, online users such as clarifying descriptions of a photographs Artist, or Historian, all of whom are traditionally involved in that lack adequate identification from LC. Stvilia and creating or describing information, and Other as an option to Jörgensen (2010) evaluated the complementary works of collect information from people in all occupations. Given online users by examining the quality of tags in LC's histori- the images are historical and distributed by the LC, we cal collection on Flickr, in terms of accuracy of terms and expected that certain occupational fields such as librarian, relevance to the image (Stvilia & Jörgensen, 2009, 2010). historian, or archivist might be more common than others. LC has found this collaboration SO useful that they have con- However, 70% of users chose other. This answer demon- tinued to expand their Flickr collections and have encour- strates that social media has attracted the attention of many aged other cultural heritage institutions to join an expanded users who have not traditionally participated in describing Flickr Commons (Springer & Michel, 2008). Dalton (2010) information. examined the New York Public Library's use of the Flickr Question 18 asked why users tag, mark-up, comment, or Commons and described their work in combining their own ""favorite"" the Library of Congress's Flickr images. We used metadata, especially subjects, with that of users tagging or an open-ending question SO that the data were generated in commenting on items. Kipp, Buchel, and Neal (2012) and the users' own language. In this paper we analyzed the Kipp, Choi, Beak, Buchel, and Rasmussen (2013) examined answers from Questions 1-15 and Question 18 covering tags, comments and notes on images and discovered that users' motivations for using the LC Flickr collection as well many users were contributing local geographic and historical as the questions on demographics and use of social media. knowledge to the data set. The survey was created in Qualtrics and made available In this study, we analyzed the results of a survey of Flickr to participants via a URL. The survey was distributed in users to attempt to determine the motivations of Flickr users English, although a few users contributed responses in other for contributing to the LC Flickr collections, not only tag- languages (mainly French). We distributed the survey ging, but also other types of interactions such as comment- through Flickr mail in Fall 2012 to each participant individu- ing or favoriting an item. The motivations we identified are ally, a total of 7,563 participants. The authors each sent based directly on user survey responses using an open cod- some surveys as Flickr mail has strict limits on the number ing method. of users that can be contacted per day and per week. The survey took several months to distribute via this method, but Methods this method did guarantee that all users contacted were still We chose to study pictures on the LC Flickr site with the"
124,20,or had been Flickr users and had actually contributed to the maximum possible set of librarian created metadata LC Flickr collection at some point in the past. We completed
127,21,4
128,22,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY-Month 2017 DOI: 10.1002/asi
130,23,ID: jwaa3b2server Time: 20:24
131,24,Path: D:/Wiley/Support/XML_Signal_Tmp_AA/JW-ASI#170010
