,Blocks.paragraph,grouped_text
0,0,disciplinary lines. We can observe each of these through use
1,1,from them a theory (or set of theories) about how change of the tables extracted from the DDC schedules.
3,2,"occurs, and from here, design interventions that could help The purpose of this article is not to demonstrate how"
5,3,designers of schemes. collocative integrity has affected cataloger decisions. This
7,4,"Finally, following Rorty (1982, 1999), we posit that the work is a separate endeavor, with reports on this data sur-"
9,5,findings from a neo-pragmatic study of subject ontogeny facing in Tennis et al. (2012). Because of the complex nature
11,6,"will be a set of vocabulary useful for understanding and of this topic, we present one conception here, collocative"
13,7,"designing for scheme change. integrity. The concept of collocative integrity is perhaps more directed to the designer's and editor's views, not the"
16,8,"DDC: The Case of Eugenics cataloger's view. To achieve the goals set out in this article, we approach"
19,9,The DDC has gone through 23 editions in its full form. the investigation of subject ontogeny and the construction of
21,10,First authored by Mevil Dewey in 1876 as a pamphlet that the concept of collocative integrity from a neo-pragmatic
23,11,"listed a few classes of subjects, the DDC has grown into a framework, which claims that words are tools for action"
25,12,"multivolume work. Many editors have been involved in the (Rorty, 1982, 1999). In this particular case, we also are"
27,13,"evolution of the scheme (Comaromi, 1976), and coupled informed by Berger and Luckman's (1967) work on social"
29,14,"with the evolving nature of subjects published, it has constructionism, and the tenet that once something is con-"
31,15,"changed over time-sometimes dramatically. structed, say a classification scheme, it can be used in many"
33,16,Miksa (1998) described three major periods of change: different ways and thus must be understood independent of
35,17,"(a) Beginnings, which spans Editions 1 to 6 (1876-1899); its creators. That is, we hold that a subject has a life of its"
37,18,"(b) Conflict, spanning Editions 7 to 15 (1911-1953); and own (metaphorically), and we need to better understand that"
39,19,"(c) Recovery and Advance, which contains Editions 16 life to critique the value and functionality of long-lived"
41,20,to 21 (1958-1996) (p. 5). Our case study moves from classification schemes that change over time.
43,21,"Conflict to the Recovery and Advance periods, 1911 to the An analogy might be that we understand aerobic or"
45,22,present. anaerobic mechanisms of the body SO that we can be better
47,23,The DDC is primarily an enumerative scheme organized at helping others with their fitness routines. A basic knowl-
49,24,"by discipline, meaning that most of the classes are explicitly edge of the underlying mechanisms of a system, whether it"
51,25,"listed. The classifier does not need to create them through is blood/oxygen exchange or subject ontogeny, will allow us"
53,26,"synthesizing numbers (though it is possible to do so), and to make informed changes to the routines that relate to that"
55,27,"topics are organized by broad disciplinary categories such as system. For example, we can change workout regimes, or in"
57,28,"Religion, Social Science, Science, and Literature. This the case of classification, change our work practice of class-"
59,29,means that a topic could appear in more than one place if it ing and changing classification schemes.
61,30,is studied from more than one disciplinary perspective. In This approach is useful for us because it (a) acknowl-
63,31,"many cases, topic regularly lines up with discipline: For edges the language at work in classification and (b) provides"
65,32,"example, anatomy is almost always studied in Biology and for a way in which we can handle the object of study as"
67,33,"Art. And of course, the researcher interested in ontogeny separate from its creators and separable from its history. also has to account for the philosophy of"
70,34,"or history of This work is a case study, one of hopefully many more"
72,35,"questions of topics which would place them in Philosophy or that can document the varieties of change in schemes, oper-"
74,36,History regardless of whether they are horseshoes or hand ating at a level of detail that makes clear our assumptions
76,37,grenades. about semantics and structure over time. We believe this is
78,38,"However, not all topics make sense in this construction of an advancement of our understanding of schemes and the"
80,39,"topics and disciplines. For example, at its first appearance in ramifications of change based on an assumption about the"
82,40,"the DDC, eugenics is a biological science. This is not a raison d'être of classification schemes. There is a neo-"
84,41,"bizarre placement in 1911, but is SO now (to many audi- pragmatic functionalism in this approach; namely, that the"
86,42,"ences), just as anatomy, which can be studied from any use of a particular kind of language (the DDC) to collocate"
88,43,"discipline, is SO closely linked with biology and art that it is documents in a collection over time is a pragmatic act. In"
90,44,"most commonly discussed in biology books and art books, this perspective, the DDC is an assemblage of words used"
92,45,"and most commonly classed in Biology or Art. The case of for action. Because it is a pragmatic act, the action of col-"
94,46,"eugenics is strange, for the reasons mentioned earlier but location is the beginning and end of our concern. How does"
96,47,"also because it has changed, within the scheme, from a the designer of a scheme collocate kinds of subjects? If the"
98,48,"science to a nonscience. The reorganization is a redefinition subject is in one place for its entire life in the scheme, there"
100,49,"in a forceful way, such that even if there were a book on is no question about its collocative integrity. If it changes,"
102,50,"eugenics written from the biological perspective, it could not and changes dramatically, then we have to signal this to the"
104,51,"go into the life sciences in the same position-thereby designers and editors in a particular way, such that the func-"
106,52,"negating outright any collocative integrity. The DDC reflects tional requirements of classification are retrained. Thus, we"
108,53,"this change quite clearly because of its disciplinary organi- need to study the nature of these changes case by case,"
110,54,"zational structure. So although it was once possible to say assemble a body of knowledge around these cases, abstract through the lens of the classification scheme that there are"
113,55,1352
114,56,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY-July 2012 DOI: 10.1002/asi
