,Blocks.paragraph,grouped_text
0,0,72 JOURNAL OF EDUCATION FOR LIBRARY AND INFORMATION SCIENCE which differ from the worldviews of peo-
3,1,"ment, and travel support for conference at- ple of other races and ethnic backgrounds."
5,2,"tendance. Fellows undertook coursework In the same way, the complexities of in-"
7,3,at a full-time rate of nine credits per se- formation policy that help negotiate barri-
9,4,mester during their first two years in the ers to access touch on issues of the Digital
11,5,"doctoral program. All doctoral students Divide. For example, rural public librar-"
13,6,at this time were expected to complete a ies that do provide access to the Internet
15,7,minimum of 12 credits of coursework in continue to struggle with poor broadband
17,8,"their major area (information organiza- infrastructure, outdated equipment, old"
19,9,"tion, information policy, information re- Carnegie buildings, elimination of feder-"
21,10,"trieval), 9 credits in a minor area (any rel- ated library systems and inadequate local"
23,11,"evant topical area from within the school funding structures (Thiele, 2013)."
25,12,"or elsewhere on campus) and 12 credits in In spite of ongoing access limitations,"
27,13,"research methods, with an expectation of many sources of information are increas-"
29,14,completed coursework in both quantitative ingly available online only. This could
31,15,and qualitative methods. present challenges for older (50+) adults
33,16,Fellows were paired each semester with who may have limited technological
35,17,one or more faculty members to engage in skills. More public library technological
37,18,research activities during this time. Prod- programming and services aimed specifi-
39,19,ucts arising from collaborations with fac- cally at this age group need to be provided
41,20,"ulty members or self-initiated research ef- (Bennett-Kapusniak, 2013). Policy deci-"
43,21,forts began to appear in the second year of sions may also impact intellectual free-
45,22,the program. To stimulate a dialogue relat- dom. Public libraries and library boards
47,23,ed to research issues relevant to the B2A make decisions about their collections that
49,24,"program themes, B2A Brown Bag presen- balance LIS principles and community"
51,25,tations were organized for the 2011-12 interests that impact intellectual freedom
53,26,academic year. Six presentations were and access to information (Zimmer & Mc-
55,27,"made by SOIS faculty addressing research Cleer, 2014). These are issues that have"
57,28,topics related to information access barri- been investigated by the B2A Fellows.
59,29,"ers. During the following academic year, An extensive promotion and recruit-"
61,30,the Fellows provided the B2A Brown Bag ment effort was undertaken in 2010 after
63,31,presentations by highlighting the relevant notification of receipt of the grant in the
65,32,research projects they had been conduct- summer of 2010. Six qualified applicants
67,33,ing. The Fellows were encouraged to sub- were extended admission. All were non-
69,34,"mit their work for presentation to relevant traditional students, and all but one had"
71,35,professional and research meetings. In ad- received a graduate degree at least two
73,36,dition to the Fellows' own presentations years earlier and had been working in the
75,37,"of their work, two panel sessions were field or in allied areas prior to entering the"
77,38,organized at selected conferences to high- doctoral program. Because recruitment ef-
79,39,light the B2A program and the Fellows' forts began after admissions had already
81,40,"research on information access barriers. been made for Fall 2010, most of the B2A"
83,41,The first panel was presented at the 2012 Fellows were admitted for the 2011-12
85,42,"Joint Conference of Librarians of Color academic year. Once admitted, Fellows"
87,43,"(JCLC), with the second panel presented followed the same curriculum as all SOIS"
89,44,"at the 2015 ALISE conference. doctoral students, but with added expecta-"
91,45,The third year of the program was used tions and opportunities.
93,46,to prepare for and complete preparatory Funding through the B2A grant pro-
95,47,essays. These were a required part of the vided Fellows with additional financial
97,48,"doctoral program and were equivalent to support for stipends, education-related"
99,49,"preliminary examinations. The prepara- supplies and expenses, computing equip-"
101,50,tory essays required doctoral students
