,Blocks.paragraph,grouped_text
0,0,Knowl. Org. 42(2015)No.5 303 W.-C. Lee. Culture and Classification
3,1,concerning representation and prioritization. The influence
4,2,"point of criticism, Everett (2012) thinks Geertz's definition between culture and classification schemes is mutual. Clas-"
6,3,overlooks the dynamic and evolving nature of culture. sification schemes and subject description standards like
8,4,Some treat culture as collective phenomenon. This fam- Library of Congress Subject Headings (LCSH) can reinforce or
10,5,"ily of definition has two core tenets: 1) it is assumed that marginalize culture(s) by including or excluding cultural individuals learn culture from other members of the same perspectives. Olson (2000) examines LCSH, and points"
14,6,"group, and 2) culture distinguishes group members from out that LCSH is based on U.S. centered mainstream per-"
16,7,"non-members. Some authors explicitly emphasize the two spectives, which may not represent the whole of lived ex-"
18,8,"tenets in their definitions. Beyond that, authors disagree. perience. In addition, both Olson (2000) and Mai (2013)"
20,9,"Kluckhohn (1944), Tylor (1958), and Hofstede (1994) point out the underlying values of warrants, and the myth"
22,10,think culture is civilization. They approach culture from a of pursuing neutral and universal classification scheme and
24,11,"progressive perspective, and view culture as a scale with subject description. In the multi-cultural world, the exclu-"
26,12,civilized and ignorant as extremes. Goodenough (1971) re- sion of non-mainstream perspectives is an ethical chal-
28,13,"gards culture as rules, guides, and expectations of behav- lenge. Olson (2000) suggests that we accommodate the"
30,14,"iors that reside in people's minds, while Steinwachs (1999) dynamic changes of both content and relationships of"
32,15,sees culture as predisposition and judgment of behavior. subjects to standards like LCSH. Mai (2013) advocates for
34,16,"Menou (1982) defines culture as the human-made part developing domain/practice based ethical classifications,"
36,17,of human environment. He distinguishes two types of cul- which value culture and context. This complements
38,18,ture: objective/material culture and subjective/non- Furner's (2007) critical race theory analysis of the DDC. By
40,19,material culture. Subjective/non-material culture consists allowing subject description changes to reflect cultural dif-
42,20,"of ""code of signs and meanings which shapes the individ- ferences, people who share different cultures can experi-"
44,21,"ual and social perception of the universe"" (Menou 1982, ence less of a sense-making gap, and librarians can provide"
46,22,122). It influences people's cognition. Menou lists some more ethical and equitable access to information.
48,23,"traits of subjective/non-material culture: values, stereo- types, etc. Objective/material culture is further divided into 2.0 Culture in Knowledge Organization"
51,24,artifacts and observable patterns of human activity. Some and Anthropology
53,25,"examples of artifacts include settlements and housing, or language. Menou also provides examples of observable Previous research has addressed cultural issues in KO, and"
56,26,"patterns of activity, which include family structure and emphasized the importance of culturally sensitive knowl-"
58,27,norms. The list seems to imply that observable patterns of edge organization (Tennis 2013). It is critical to clarify how
60,28,activity are the underlying infrastructures with different culture is defined in the literature. We review the KO litera- levels of influence and restriction on members of the soci- ture and the literature of anthropology to gain a deeper
64,29,ety. Menou's definition covers some core components of understanding of how scholars view the concept of cul-
66,30,culture which other scholars integrate to their definitions ture. The review is organized into different families of
68,31,(Hofstede 1994). One of Kluckhohn's definitions claims definitions. We consider culture as 1) nationality or geo-
70,32,"that culture is ""that part of the environment that is the graphic region, 2) context, 3) collective phenomenon, and"
72,33,"creation of man,"" (Kluckhohn 1944, 17) which comports 4) human-made part of human environment. with Menou's definition."
75,34,"As mentioned, López-Huertas (2008; 2013) defines cul- ture along national or geographical boundaries. Similarly, 3.0 Manifestations and Elements of Culture"
78,35,"Hofstede (1994) and Steinwachs (1999) talk about national culture. National culture is considered one layer of culture We have looked at different families of definitions of cul- which people often refer to when conducting intercultural ture. It is clear that culture is multifaceted. Like Geertz comparisons, or promoting cooperation among nations."
84,36,"(1973) says, while we want to study culture, we can only Both Steinwachs and Olson (2000) finds national culture"
86,37,study what is observed and described. In order to study disputable in that national borders do not always corre-
88,38,"culture, scholars tend to identify and examine manifesta- spond to boundaries of societies. However, distinguishing"
90,39,"tions of culture, which are not only easy to observe, but culture by nationality is often considered the easier, and"
92,40,indeed the only thing we can observe (Goodenough sometimes the only feasible way for data collection.
94,41,"1971; Kluckhohn 1944). These observations, and our in- Taheri et al. (2014) treat culture as context. In their"
96,42,"terpretations of them, allow us to study the proxies for work, they refer to Islamic culture and Iranian culture, and"
98,43,"culture, and thereby develop and compare definitions, claim that culture influences attitudes and concepts. Geertz"
100,44,"models, and theories. Manifestations are key to this work. (1973) defines culture as context as well. It is a system of"
102,45,"The following section will introduce and compare the symbols, in which symbols can be thickly described. As a manifestations as well as the elements (i.e., proposed sub-"
105,46,"https://doi.org/10.5771/0943-7444-2015-5-302 Generiert durch IP '172.22.53.54', am 15.08.2023, 22:51:31. Das Erstellen und Weitergeben von Kopien dieses PDFs ist nicht zulässig."
