,Blocks.paragraph,grouped_text
0,0,138 D. Nicholas et al.
2,1,"beginning of the project. There is, however, one thing they stead- For ECRs, every scholarly activity has a goal, which is to fastly will not do and that is cite the social media. That is going increase their competitive edge in order to obtain that prized too far. secure position. This is why there is so much interest in making Summing up, it does seem that social media have come of"
9,2,"an impact, and it is, in fact, the fastest growing scholarly aspect in age. Reputational concerns and time pressures associated with"
11,3,"terms of increased positive interest and practice for ECRs. This is, paper publishing do stand in the way of greater use. However,"
13,4,"no doubt, fuelled by national policies, such as the UK's Research there is no real evidence to believe that, in time, social media will Evaluation Framework and blandishments from publishers and take over the role of the more traditional means of communica-"
17,5,"social scholarly networks platforms claiming they can offer evi- tion, such as paper publishing, and so transform it."
19,6,"dence of 'impact'. ECRs view impact as largely influencing one's peers, and as mentioned, success in this is largely determined by"
21,7,"citations. Less so, it is also seen to be successfully reaching out to Metrics"
23,8,"policymakers and the general public, 'I am more conscious of the importance of the dissemination of our research to a general pub- Increasing measurement, especially by citations, is a key characteris- lic in order to wake up the interest of the generations about sci- tic of the scholarly communications system and is used widely in ence. So, with the new technologies is very easy to make this so'. appraisals and for reputational purposes. ECRs are uncomfortable Spanish ECRs are particularly passionate about making an impact with the dominance of metrics but are not highly critical of them. by reaching out: 'To build bridges with society is a must'. Most Metrics are seemingly a rock-solid aspect of scholarly com- would concur with this but do not feel qualified to engage in out- munications, and by metrics, ECRs really mean citation-based reach activities, and because of the demands of paper publishing, ones, which provide the principal means of evaluating the formal they simply did not have the time to engage. ECRs are awaiting system, its papers, and users. We have here another case of ECRs government initiatives to enable them to undertake these activi- not necessarily liking a scholarly aspect, more a case of having to ties and obtain the requisite reward or reputational advantage. put up with it. Maybe that is why, in conversations with ECRs,"
44,9,"they appeared bored when asked about them, seldom coming to the defence of citations by pointing to their attractions, Although, Ethical practices"
47,10,"plainly, they are well aware of their importance to their There is recognition that ethics is a widespread problem, with the appraisals, careers, and reputation. As one ECR said: 'Citations reason being that the reputational system is so demanding with are everything and everything is related to citation'. Ironically, respect to paper publishing and predatory journals, which open the even in the face of potential competition from altmetrics, cita- door to wider unethical behaviour. tions are becoming even more entrenched, and this is because Because there is no consensus here as to what is considered universities view citations as a measure of research excellence unethical and because of its sensitivity, it is a difficult scholarly and the means to improve their world rankings. aspect to question ECRs about, but there is a recognition that There is, however, a growing interest in altmetrics among there is a problem. It is widely felt by ECRs that more misconduct ECRs, but despite what purveyors of altmetrics may say, they do has occurred in recent years, and this has been combated by the not regard them so much as measures of research impact but more introduction of more and better ethical procedures/training and social impact - a gauge of popularity, reach, interest, and curiosity. calls to integrate ethics standard in all aspects of the research Impact is all about citations and/or utility for society, altmetrics on and publishing cycle. ECRs are more knowledgeable because of the other hand just tell us about curiosity. What ECRs, however, are the likes of Committee on Publication Ethics (COPE), Retraction waking up to is the fact that altmetrics could lead to more citations: Watch, and the Scholarly Kitchen blog, but there is a concern that 'Citations are the important research measure, but obtaining good the existing policing systems are being overwhelmed by the sheer altmetrics might mean that you will get citations in the future'. volume of unethical behaviour. Recent interest is, no doubt, fuelled by the fact that a few The blame for rising levels of unethical behaviour is levelled universities (in China especially) are providing ECRs credit for variously at predatory publishers, open (unpoliced) science, jour- their altmetric scores and that national policies in Spain and nal editors attempting to raise the impact factor of their journals, France, for instance, are being formulated to take into account reviewers with vested interests, and the pressures placed on social impact scores of ECRs. Finally, there is some discomfort researchers to publish. (no more than that) that ECRs are part of an increasingly metric- There is, however, a marked difference in opinion between driven world in which metrics are not actually measuring quality the English-language countries and the others, with ECRs from or impact and narrowing academic choices. UK and USA exhibiting very little interest or concern about ethi- cal behaviour. This could be explained by two factors: (1) coming from mature scholarly communication countries, ECRs believe - Impact possibly complacently so - that their house is in order, and After collaboration, research impact is the activity that shows the"
100,11,"(b) they believe their own publishing behaviour is ethical and are greatest growth in ECR interest, but impact is still fundamentally all"
102,12,not particularly interested in generalizations about what others about citations. are doing.
105,13,www.learned-publishing.org 2019 The Author(s).
107,14,Learned Publishing 2020; 33: 132-141 Learned Publishing © 2019 ALPSP.
